municipio,estado,bioma,latitude,longitude,frp_previsto,risco,semana_sin,semana_cos,precipitacao_total,dias_sem_chuva_max
MANHUAÇU,MINAS GERAIS,Mata Atlântica,-20.170502540867805,-42.11619310494451,11.114191,Alto,0.12053668025532308,-0.992708874098054,3.8188888888888886,24.41111111111111
MANICORÉ,AMAZONAS,Amazônia,-7.427012954682621,-61.59666445878103,28.879602,Alto,0.12053668025532308,-0.992708874098054,632.6473076923077,9.217948717948717
MANOEL EMÍDIO,PIAUÍ,Cerrado,-8.286330135320052,-44.027064063250734,18.94541,Alto,0.12053668025532308,-0.992708874098054,10.501052631578947,22.11004784688995
MANOEL RIBAS,PARANÁ,Mata Atlântica,-24.50798819108279,-51.65308173885351,8.845144,Médio,0.12053668025532308,-0.992708874098054,1.01275,6.825
MANOEL URBANO,ACRE,Amazônia,-8.830052914982788,-69.38529353255504,13.7106695,Alto,0.12053668025532308,-0.992708874098054,212.88163265306125,8.071428571428571
MANOEL VIANA,RIO GRANDE DO SUL,Pampa,-29.431356335877865,-55.588197938931295,4.943429,Médio,0.12053668025532308,-0.992708874098054,0.4438888888888889,6.333333333333333
MANOEL VITORINO,BAHIA,Caatinga,-14.054141085680754,-40.57948014084507,12.499129,Alto,0.12053668025532308,-0.992708874098054,4.056578947368421,27.74342105263158
MANSIDÃO,BAHIA,Cerrado,-11.211424273735977,-44.09153514752237,27.729263,Alto,0.12053668025532308,-0.992708874098054,27.3948623853211,31.31192660550459
MANTENA,MINAS GERAIS,Mata Atlântica,-18.662195891826926,-41.08999602644231,13.240345,Alto,0.12053668025532308,-0.992708874098054,6.512539682539683,23.396825396825395
MANTENÓPOLIS,ESPÍRITO SANTO,Mata Atlântica,-18.897435085409256,-41.049732060498215,9.561267,Médio,0.12053668025532308,-0.992708874098054,1.780135135135135,23.513513513513512
MAQUINÉ,RIO GRANDE DO SUL,Mata Atlântica,-29.602457391304345,-50.23810608695653,4.458843,Baixo,0.12053668025532308,-0.992708874098054,0.066875,4.5625
MAR DE ESPANHA,MINAS GERAIS,Mata Atlântica,-21.875283895061727,-43.015496302469124,8.039172,Médio,0.12053668025532308,-0.992708874098054,4.529473684210527,7.973684210526316
MARA ROSA,GOIÁS,Cerrado,-14.002899874157297,-49.49409644157303,20.440744,Alto,0.12053668025532308,-0.992708874098054,8.27864864864865,20.324324324324323
MARABÁ,PARÁ,Amazônia,-5.648402512487512,-49.90181374615384,23.906864,Alto,0.12053668025532308,-0.992708874098054,143.3259493670886,12.39873417721519
MARABÁ PAULISTA,SÃO PAULO,Mata Atlântica,-22.149354377192978,-52.085446793859646,16.562683,Alto,0.12053668025532308,-0.992708874098054,2.2643589743589745,6.3076923076923075
MARACAJU,MATO GROSSO DO SUL,Cerrado,-21.48209600816697,-55.48729764519056,13.594233,Alto,0.12053668025532308,-0.992708874098054,8.265086206896552,6.724137931034483
MARACANAÚ,CEARÁ,Caatinga,-3.8777701875000004,-38.62657709375001,9.340748,Médio,0.12053668025532308,-0.992708874098054,2.8373863636363637,36.375
MARACANÃ,PARÁ,Amazônia,-0.8551970591427022,-47.516443907216505,12.92028,Alto,0.12053668025532308,-0.992708874098054,12.5282,16.48
MARACAÇUMÉ,MARANHÃO,Amazônia,-2.02033497928749,-46.002773400165694,15.899976,Alto,0.12053668025532308,-0.992708874098054,9.860864197530864,14.11111111111111
MARACAÍ,SÃO PAULO,Cerrado,-22.583568299999992,-50.612996433333336,18.73606,Alto,0.12053668025532308,-0.992708874098054,2.813157894736842,8.368421052631579
MARACÁS,BAHIA,Caatinga,-13.46984179512195,-40.61310018585366,12.034626,Alto,0.12053668025532308,-0.992708874098054,2.0016412213740455,27.358778625954198
MARAGOGI,ALAGOAS,Mata Atlântica,-8.951513154574132,-35.24998374290222,8.821923,Médio,0.12053668025532308,-0.992708874098054,0.756421052631579,18.789473684210527
MARAGOGIPE,BAHIA,Mata Atlântica,-12.792712519083972,-38.94453221374046,5.111979,Médio,0.12053668025532308,-0.992708874098054,0.15244897959183673,0.1836734693877551
MARAIAL,PERNAMBUCO,Mata Atlântica,-8.828760842490842,-35.74748115384615,5.8494864,Médio,0.12053668025532308,-0.992708874098054,0.2856896551724138,19.24137931034483
MARAJÁ DO SENA,MARANHÃO,Amazônia,-4.685524076046459,-45.75192934516766,27.590998,Alto,0.12053668025532308,-0.992708874098054,36.58869822485207,26.715976331360945
MARANGUAPE,CEARÁ,Caatinga,-4.027086403712296,-38.8264420725058,9.953092,Médio,0.12053668025532308,-0.992708874098054,1.850566037735849,50.12264150943396
MARANHÃOZINHO,MARANHÃO,Amazônia,-2.476804047712162,-45.975257641767705,16.040161,Alto,0.12053668025532308,-0.992708874098054,12.415111111111113,13.2
MARAPANIM,PARÁ,Amazônia,-0.8736961658268438,-47.71496981447547,14.274522,Alto,0.12053668025532308,-0.992708874098054,16.918315789473684,13.631578947368421
MARAPOAMA,SÃO PAULO,Mata Atlântica,-21.262937138528137,-49.15628098268398,19.342083,Alto,0.12053668025532308,-0.992708874098054,4.278666666666667,6.633333333333334
MARATAÍZES,ESPÍRITO SANTO,Mata Atlântica,-21.115654428571432,-40.9109625,5.3141956,Médio,0.12053668025532308,-0.992708874098054,0.3989655172413793,0.0
MARATÁ,RIO GRANDE DO SUL,Mata Atlântica,-29.54790978021978,-51.556713516483526,3.8836744,Baixo,0.12053668025532308,-0.992708874098054,0.20750000000000002,4.846153846153846
MARAU,RIO GRANDE DO SUL,Mata Atlântica,-28.451576500000005,-52.20647974999999,5.1646314,Médio,0.12053668025532308,-0.992708874098054,1.0883333333333332,6.416666666666667
MARAVILHA,ALAGOAS,Caatinga,-9.2393305,-37.401896924999996,12.451727,Alto,0.12053668025532308,-0.992708874098054,3.490612244897959,11.979591836734693
MARAVILHAS,MINAS GERAIS,Cerrado,-19.495766592783507,-44.70118097422681,10.379027,Médio,0.12053668025532308,-0.992708874098054,1.3638356164383563,36.23287671232877
MARAÃ,AMAZONAS,Amazônia,-2.5575681903765677,-64.82115666004184,7.130154,Médio,0.12053668025532308,-0.992708874098054,36.19346666666667,2.36
MARAÚ,BAHIA,Mata Atlântica,-14.12769069637883,-39.13306083565459,7.7994075,Médio,0.12053668025532308,-0.992708874098054,1.5567088607594937,10.10126582278481
MARCAÇÃO,PARAÍBA,Mata Atlântica,-6.745419714285714,-35.00231886349205,18.799627,Alto,0.12053668025532308,-0.992708874098054,1.452777777777778,6.166666666666667
MARCELINO RAMOS,RIO GRANDE DO SUL,Mata Atlântica,-27.44721625,-51.958378124999996,5.095148,Médio,0.12053668025532308,-0.992708874098054,0.7023076923076924,5.923076923076923
