municipio,estado,bioma,latitude,longitude,municipio_y,probabilidade,semana,precipitacao_total,dias_sem_chuva_max
SENADOR LA ROCQUE,MARANHÃO,Amazônia,-5.396974285714286,-47.20813571428572,3432,0.98986804,25,31.530474300247505,11.5
SENADOR LA ROCQUE,MARANHÃO,Cerrado,-5.4628675,-47.29618025,3432,0.98986804,25,31.530474300247505,11.5
SENADOR MODESTINO GONÇALVES,MINAS GERAIS,Cerrado,-17.81405975,-43.27405425,3433,0.98522854,25,32.51143185895565,27.583333333333332
SENADOR POMPEU,CEARÁ,Caatinga,-5.614298125,-39.42030375,3434,0.9849808,25,25.45487493339252,15.928571428571429
SENADOR RUI PALMEIRA,ALAGOAS,Caatinga,-9.356095,-37.523275,3435,0.96087027,25,34.01391622963895,3.0
SENADOR SÁ,CEARÁ,Caatinga,-3.26548,-40.50485285714286,3436,0.9870467,25,32.423075857259754,31.5
SENGÉS,PARANÁ,Cerrado,-24.14619,-49.529849999999996,3437,0.9756623,25,34.318520430993594,5.625
SENGÉS,PARANÁ,Mata Atlântica,-24.3442,-49.41764,3437,0.9756623,25,34.318520430993594,5.625
SENHOR DO BONFIM,BAHIA,Caatinga,-10.562735,-40.185042499999994,3438,0.97858626,25,22.09900577790806,37.125
SENHORA DE OLIVEIRA,MINAS GERAIS,Mata Atlântica,-20.79821,-43.359865,3439,0.9868052,25,33.376055750231245,18.0
SENHORA DO PORTO,MINAS GERAIS,Mata Atlântica,-18.88770728571429,-43.12463014285714,3440,0.97945446,25,29.370964729264745,38.75
SENHORA DOS REMÉDIOS,MINAS GERAIS,Mata Atlântica,-21.02644,-43.57828,3441,0.9999987,25,15.56809508133988,20.5
SENTINELA DO SUL,RIO GRANDE DO SUL,Pampa,-30.53818,-51.64885,3442,0.98877794,25,25.901441839389147,4.0
SENTO SÉ,BAHIA,Caatinga,-10.011735,-41.95704694444444,3443,0.98551416,25,32.86359599314753,3.484848484848485
SERICITA,MINAS GERAIS,Mata Atlântica,-20.510086,-42.448156,3444,0.9796276,25,25.995239599566865,35.7
SERINGUEIRAS,RONDÔNIA,Amazônia,-12.020946153846154,-63.18128115384616,3445,0.9977533,25,27.5255700770997,7.904761904761905
SEROPÉDICA,RIO DE JANEIRO,Mata Atlântica,-22.754719599999998,-43.707006,3446,0.9809777,25,30.230174019162515,6.260869565217392
SERRA,ESPÍRITO SANTO,Mata Atlântica,-20.192697,-40.287110000000006,3447,0.9786618,25,29.252077411360712,6.222222222222222
SERRA ALTA,SANTA CATARINA,Mata Atlântica,-26.69296,-53.04354,3448,0.9762645,25,33.39604140338787,4.5
SERRA AZUL,SÃO PAULO,Cerrado,-21.284805,-47.576688000000004,3449,0.9733103,25,35.13370289131169,10.083333333333334
